Date,Open,High,Low,Close,Volume,Adj Close,Adj Close SMA(10)
2015-08-12,34.290001,34.77,33.849998,34.490002,31405700,34.490002,36.59
2015-08-11,36.740002,36.77,35.73,36.029999,13677300,36.029999,36.91
2015-08-10,36.869999,37.689999,36.869999,37.150002,11266600,37.150002,37.08
2015-08-07,36.52,36.759998,36.150002,36.669998,11825800,36.669998,37.15
2015-08-06,37.34,37.52,36.299999,36.459999,12045400,36.459999,37.37
2015-08-05,37.32,37.709999,37.23,37.25,6837900,37.25,37.64
2015-08-04,36.610001,37.209999,36.599998,37.119999,8999000,37.119999,37.84
2015-08-03,36.669998,36.98,36.369999,36.689999,9853500,36.689999,38.10
2015-07-31,37.560001,37.57,36.619999,36.669998,15478000,36.669998,38.39
2015-07-30,37.50,37.689999,37.299999,37.419998,9513200,37.419998,38.69
2015-07-29,37.919998,37.919998,37.380001,37.669998,9739400,37.669998,38.84
2015-07-28,37.639999,37.919998,37.27,37.720001,10315100,37.720001,38.91
2015-07-27,38.310001,38.310001,37.650002,37.84,12872800,37.84,39.00
2015-07-24,39.580002,39.580002,38.669998,38.849998,8557000,38.849998,39.09
2015-07-23,39.299999,39.779999,39.060001,39.209999,9241700,39.209999,39.00
2015-07-22,38.57,39.630001,38.259998,39.240002,17115400,39.240002,38.84
2015-07-21,39.610001,39.849998,39.349998,39.73,14513300,39.73,38.64
2015-07-20,39.98,39.98,39.259998,39.540001,13909400,39.540001,38.49
2015-07-17,39.189999,39.790001,38.93,39.68,14421500,39.68,38.40
2015-07-16,38.700001,38.959999,38.599998,38.91,8406900,38.91,38.37
2015-07-15,38.509998,38.799999,38.150002,38.380001,9123300,38.380001,38.41
2015-07-14,38.650002,39.029999,38.439999,38.630001,9464500,38.630001,38.50
2015-07-13,38.25,38.799999,38.099998,38.759998,8665000,38.759998,38.53
2015-07-10,38.349998,38.419998,37.779999,37.919998,9559100,37.919998,38.66
2015-07-09,38.23,38.68,37.52,37.610001,16871200,37.610001,38.97
2015-07-08,37.200001,37.490002,36.939999,37.23,20430200,37.23,39.31
2015-07-07,38.240002,38.380001,36.580002,38.23,19424200,38.23,39.65
2015-07-06,38.759998,39.119999,38.459999,38.610001,11761500,38.610001,39.90
2015-07-02,39.259998,39.639999,39.189999,39.380001,7708100,39.380001,40.09
2015-07-01,39.459999,39.779999,39.150002,39.330002,6385000,39.330002,40.24
2015-06-30,39.389999,39.650002,39.189999,39.290001,11170200,39.290001,40.40
2015-06-29,39.490002,39.779999,38.849998,38.91,12452700,38.91,40.54
2015-06-26,40.830002,40.869999,39.93,40.060001,16011600,40.060001,40.69
2015-06-25,41.099998,41.389999,40.900002,41.07,10764100,41.07,40.74
2015-06-24,40.68,41.23,40.580002,40.939999,11444300,40.939999,40.73
2015-06-23,40.740002,40.799999,40.509998,40.650002,6846300,40.650002,40.84
2015-06-22,40.66,40.889999,40.540001,40.73,6127200,40.73,40.94
2015-06-19,40.900002,40.93,40.369999,40.509998,11586600,40.509998,41.07
2015-06-18,41.040001,41.27,40.790001,40.91,10003000,40.91,41.30
2015-06-17,40.799999,41.52,40.779999,40.959999,11936400,40.959999,41.49
2015-06-16,40.349998,41.400002,40.02,40.639999,20439700,40.639999,41.72
2015-06-15,40.240002,40.669998,40.209999,40.470001,10869500,40.470001,41.97
2015-06-12,40.77,41.110001,40.459999,40.529999,9220600,40.529999,42.26
2015-06-11,42.09,42.209999,40.549999,40.939999,23654400,40.939999,42.50
